"DONE"," ""Category"""," ""File Path""","Line Number","Comment",
FALSE,struct, ./src/windows/mod.rs, 267,: fill this out with a struct,
"FALSE"," ""1.0"""," ""./src/unix/linux_like/linux/uclibc/mips/mips32/mod.rs""","260","(1.0): this is actually a union",
"TRUE"," ""1.0"""," ""./src/unix/linux_like/linux/uclibc/mips/mips64/mod.rs""","191","(1.0): this is actually a union",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","145",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","152",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","198",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","209",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","219",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","224",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","242",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","255",
"FALSE"," """""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","263",
"FALSE"," ""union"""," ""./src/unix/linux_like/linux/uclibc/x86_64/mod.rs""","267","(1.0): this is actually a union"
"FALSE"," ""union"""," ""./src/unix/linux_like/linux/uclibc/arm/mod.rs""","246","(1.0) this is actually a union",
"FALSE"," ""c_long"""," ""./src/unix/linux_like/linux/uclibc/arm/mod.rs""","898",": should be a `c_long` too, but a bug slipped in.",
"FALSE"," ""linux"""," ""./src/unix/linux_like/linux/mod.rs""","79",": fill this out with a struct",
"TRUE"," ""1.0"""," ""./src/unix/linux_like/linux/mod.rs""","329","(1.0): Change to the commented variant, see https://github.com/rust-lang/libc/pull/4148#discussion_r1857511742",
"TRUE"," ""1.0"""," ""./src/unix/linux_like/linux/mod.rs""","442","(1.0): this is actually a union",
"TRUE"," ""garando"""," ""./src/unix/linux_like/linux/mod.rs""","1202","(garando): replace length with `2 * PTP_MAX_SAMPLES + 1` when supported",
"TRUE"," ""1.0"""," ""./src/unix/linux_like/linux/mod.rs""","1676","(1.0): this field was renamed to `len` in Linux 5.11",
"FALSE"," """""," ""./src/unix/linux_like/linux/mod.rs""","1839",": .field('d_name', &self.d_name)",
"FALSE"," """""," ""./src/unix/linux_like/linux/mod.rs""","1877",": .field('d_name', &self.d_name)",
"FALSE"," """""," ""./src/unix/linux_like/linux/mod.rs""","1903",": .field('size', &self.size)",
"FALSE"," """""," ""./src/unix/linux_like/linux/mod.rs""","1925",": .field('size', &self.size)",
"FALSE"," """""," ""./src/unix/linux_like/linux/mod.rs""","1947",": .field('size', &self.size)",
"TRUE"," ""offset_of"""," ""./src/unix/linux_like/linux/mod.rs""","5324","(offset_of): use `core::mem::offset_of!` once that is available",
"TRUE"," ""ctest"""," ""./src/unix/linux_like/linux/mod.rs""","5856","(ctest) the `garando_syntax` crate (used by ctest2 in the CI test suite)",
"FALSE"," ""union"""," ""./src/unix/linux_like/linux/gnu/b64/s390x.rs""","215",": This is actually a union.",
"FALSE"," ""glibc"""," ""./src/unix/linux_like/linux/gnu/b64/x86_64/mod.rs""","311",": the shadow stack field requires glibc >= 2.28.",
"FALSE"," ""xmm_space"""," ""./src/unix/linux_like/linux/gnu/b64/x86_64/mod.rs""","360",": .field('xmm_space', &self.xmm_space)",
"FALSE"," ""linux"""," ""./src/unix/linux_like/linux/gnu/b64/x86_64/mod.rs""","666",": perharps for later",
"FALSE"," ""linux"""," ""./src/unix/linux_like/linux/gnu/b64/aarch64/mod.rs""","604",": enable these again once linux-api-headers are up to date enough on CI.",
"TRUE"," ""1.0"""," ""./src/unix/linux_like/linux/gnu/mod.rs""","383","(1.0) this is actually a union",
"TRUE"," ""off64"""," ""./src/unix/linux_like/linux/gnu/mod.rs""","434","(off64): visible fields depend on __USE_FILE_OFFSET64",
"FALSE"," """""," ""./src/unix/linux_like/linux/gnu/mod.rs""","590",": .field('ut_host', &self.ut_host)",
"FALSE"," ""union"""," ""./src/unix/linux_like/linux/musl/b64/s390x.rs""","66",": This is actually a union.",
"FALSE"," """""," ""./src/unix/linux_like/linux/musl/b64/x86_64/mod.rs""","208",": .field('xmm_space', &self.xmm_space)",
"TRUE"," ""union"""," ""./src/unix/linux_like/linux/musl/mod.rs""","135","(union): C implementation uses unions",
"TRUE"," ""musl"""," ""./src/unix/linux_like/linux/musl/mod.rs""","361","(musl): enable on all targets once CI musl is updated",
"TRUE"," ""ctest"""," ""./src/unix/linux_like/linux/musl/mod.rs""","419","(ctest): length should be `32 - 2 * core::mem::size_of::<*const ()>()`",
"FALSE"," ""musl"""," ""./src/unix/linux_like/linux/musl/mod.rs""","443",": musl added paddings and adjusted",
"FALSE"," """""," ""./src/unix/linux_like/linux/musl/mod.rs""","535",": .field('__reserved', &self.__reserved)",
"FALSE"," ""ut_host"""," ""./src/unix/linux_like/linux/musl/mod.rs""","592",,
"FALSE"," ""musl"""," ""./src/unix/linux_like/linux/musl/b32/hexagon.rs""","236"," check these",
"FALSE"," ""musl"""," ""./src/unix/linux_like/linux/musl/b32/hexagon.rs""","289",,
"FALSE"," ""union"""," ""./src/unix/linux_like/mod.rs""","169"," This should be a union",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","350",": .field('sun_path', &self.sun_path)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","379",": .field('__ss_pad2', &self.__ss_pad2)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","430",": .field('sysname', &self.sysname)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","431",": .field('nodename', &self.nodename)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","432",": .field('release', &self.release)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","433",": .field('version', &self.version)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","434",": .field('machine', &self.machine)",
"FALSE"," """""," ""./src/unix/linux_like/mod.rs""","435",": .field('domainname', &self.domainname)",
"TRUE"," ""#235"""," ""./src/unix/linux_like/mod.rs""","509","(#235): Include file sealing fcntls once we have a way to verify them.",
"FALSE"," """""," ""./src/unix/linux_like/emscripten/mod.rs""","47",": fill this out with a struct",
"FALSE"," """""," ""./src/unix/linux_like/emscripten/mod.rs""","415",": .field('d_name', &self.d_name)",
"FALSE"," """""," ""./src/unix/linux_like/emscripten/mod.rs""","468",": .field('__reserved', &self.__reserved)",
"FALSE"," """""," ""./src/unix/linux_like/emscripten/mod.rs""","528",": .field('size', &self.size)",
"FALSE"," """""," ""./src/unix/linux_like/android/b64/mod.rs""","164",": .field('__reserved', &self.__reserved)",
"FALSE"," """""," ""./src/unix/linux_like/android/b64/mod.rs""","193",": .field('__reserved', &self.__reserved)",
"FALSE"," """""," ""./src/unix/linux_like/android/b64/mod.rs""","230",": .field('__reserved', &self.__reserved)",
"FALSE"," ""xmm_space"""," ""./src/unix/linux_like/android/b64/x86_64/mod.rs""","356",": .field('xmm_space', &self.xmm_space)",
"FALSE"," ""android"""," ""./src/unix/linux_like/android/b64/x86_64/mod.rs""","548",": SYS__sysctl is in the NDK sources but for some reason is",
"TRUE"," ""1.0"""," ""./src/unix/linux_like/android/mod.rs""","473","(1.0): this is actually a union",
"FALSE"," """""," ""./src/unix/linux_like/android/mod.rs""","693",": .field('d_name', &self.d_name)",
"FALSE"," """""," ""./src/unix/linux_like/android/mod.rs""","731",": .field('d_name', &self.d_name)",
"FALSE"," """""," ""./src/unix/linux_like/android/mod.rs""","803",": .field('ll_host', &self.ll_host)",
"FALSE"," """""," ""./src/unix/linux_like/android/mod.rs""","854",": .field('ut_host', &self.ut_host)",
"FALSE"," ""x86"""," ""./src/unix/linux_like/android/b32/x86/mod.rs""","284",": SYS__llseek is in the NDK sources but for some reason is",
"FALSE"," ""x86"""," ""./src/unix/linux_like/android/b32/x86/mod.rs""","288",": SYS__newselect is in the NDK sources but for some reason is",
"FALSE"," ""x86"""," ""./src/unix/linux_like/android/b32/x86/mod.rs""","297",": SYS__llseek is in the NDK sources but for some reason is",
"FALSE"," ""hurd"""," ""./src/unix/hurd/mod.rs""","229",": fill this out with a struct",
"FALSE"," ""union"""," ""./src/unix/hurd/mod.rs""","817"," This should be a union",
